,Date,Price,Open,High,Low,Change %,Target
100,"Jun 11, 2019",1.1332,1.1313,1.134,1.1302,0.15,1
101,"Jun 10, 2019",1.1315,1.1324,1.1333,1.1291,-0.16,0
102,"Jun 07, 2019",1.1333,1.1276,1.1349,1.1251,0.51,1
103,"Jun 06, 2019",1.1276,1.1229,1.131,1.1214,0.49,1
104,"Jun 05, 2019",1.1221,1.1251,1.1308,1.1219,-0.28,0
105,"Jun 04, 2019",1.1252,1.1241,1.1278,1.1226,0.1,1
106,"Jun 03, 2019",1.1241,1.1168,1.1263,1.1155,0.64,1
107,"May 31, 2019",1.1169,1.1134,1.1181,1.1125,0.34,1
108,"May 30, 2019",1.1131,1.113,1.1144,1.1115,0.0,0
109,"May 29, 2019",1.1131,1.1162,1.1175,1.1124,-0.26,0
110,"May 28, 2019",1.116,1.1198,1.1202,1.1158,-0.35,0
111,"May 27, 2019",1.1199,1.1197,1.1218,1.1186,-0.04,0
112,"May 24, 2019",1.1204,1.1183,1.1215,1.1175,0.21,1
113,"May 23, 2019",1.118,1.115,1.1187,1.1106,0.24,1
114,"May 22, 2019",1.1153,1.1166,1.118,1.1145,-0.06,0
115,"May 21, 2019",1.116,1.1171,1.1189,1.1142,-0.1,0
116,"May 20, 2019",1.1171,1.1158,1.1177,1.1148,0.12,1
117,"May 17, 2019",1.1158,1.1176,1.1186,1.1155,-0.14,0
118,"May 16, 2019",1.1174,1.1202,1.1227,1.1166,-0.25,0
119,"May 15, 2019",1.1202,1.1205,1.1226,1.1177,-0.02,0
120,"May 14, 2019",1.1204,1.1224,1.1247,1.12,-0.18,0
121,"May 13, 2019",1.1224,1.1241,1.1266,1.1221,-0.1,0
122,"May 10, 2019",1.1235,1.1215,1.1255,1.1214,0.12,1
123,"May 09, 2019",1.1222,1.1194,1.1254,1.1174,0.27,1
124,"May 08, 2019",1.1192,1.1189,1.1215,1.1181,0.01,1
125,"May 07, 2019",1.1191,1.1198,1.1222,1.1165,-0.08,0
126,"May 06, 2019",1.12,1.1173,1.1212,1.116,-0.02,0
127,"May 03, 2019",1.1202,1.1178,1.1208,1.1135,0.21,1
128,"May 02, 2019",1.1179,1.1202,1.1221,1.1172,-0.15,0
129,"May 01, 2019",1.1196,1.1215,1.1267,1.1188,-0.19,0
130,"Apr 30, 2019",1.1217,1.1185,1.1232,1.1176,0.28,1
131,"Apr 29, 2019",1.1186,1.1153,1.1191,1.114,0.33,1
132,"Apr 26, 2019",1.1149,1.113,1.1175,1.1111,0.15,1
133,"Apr 25, 2019",1.1132,1.116,1.1164,1.1118,-0.2,0
134,"Apr 24, 2019",1.1154,1.1229,1.1233,1.1141,-0.65,0
135,"Apr 23, 2019",1.1227,1.1259,1.1264,1.1192,-0.28,0
136,"Apr 22, 2019",1.1258,1.1246,1.1265,1.1237,0.09,1
137,"Apr 19, 2019",1.1248,1.124,1.1255,1.1229,0.15,1
138,"Apr 18, 2019",1.1231,1.1297,1.1307,1.1226,-0.58,0
139,"Apr 17, 2019",1.1297,1.1282,1.1326,1.128,0.14,1
140,"Apr 16, 2019",1.1281,1.1304,1.1315,1.1279,-0.25,0
141,"Apr 15, 2019",1.1309,1.13,1.1323,1.1296,0.06,1
142,"Apr 12, 2019",1.1302,1.1255,1.1327,1.1253,0.44,1
143,"Apr 11, 2019",1.1253,1.1274,1.1293,1.1249,-0.19,0
144,"Apr 10, 2019",1.1274,1.1261,1.1286,1.1228,0.1,1
145,"Apr 09, 2019",1.1263,1.1272,1.1287,1.1255,0.02,1
146,"Apr 08, 2019",1.1261,1.1218,1.1277,1.1213,0.4,1
147,"Apr 05, 2019",1.1216,1.1223,1.1246,1.121,-0.04,0
